"artist_name","user_first_name","item_in_session","user_last_name","song_length","session_id","song_title","user_id"
"Harmonia","Ryan","0","Smith","655.77751","583","Sehr kosmisch","26"
"The Prodigy","Ryan","1","Smith","260.07465","583","The Big Gundown","26"
"Train","Ryan","2","Smith","205.45261","583","Marry Me","26"
"Sony Wonder","Samuel","0","Gonzalez","218.06975","597","Blackbird","61"
"Van Halen","Tegan","2","Levine","289.38404","602","Best Of Both Worlds (Remastered Album Version)","80"
"Magic Sam","Tegan","3","Levine","132.04853","602","Call Me If You Need Me","80"
"Edward Sharpe & The Magnetic Zeros","Tegan","4","Levine","306.31138","602","Home","80"
"Usher featuring will.i.am","Tegan","5","Levine","395.72853","602","OMG","80"
"Helen Reddy","Tegan","7","Levine","176.50893","602","Candle On The Water","80"
"Taylor Swift","Tegan","8","Levine","201.06404","602","Our Song","80"
"Sean Paul","Tegan","9","Levine","245.34159","602","Baby Boy [feat. Beyonce]","80"
"Soundgarden","Lily","0","Koch","272.19546","582","Black Hole Sun","15"
"The Killers","Tegan","10","Levine","360.75057","602","Human","80"
"Amy Winehouse","Lily","1","Koch","165.11955","582","Addicted","15"
"Steve Anderson","Lily","2","Koch","265.06404","582","Air","15"
"Rob Zombie","Lily","3","Koch","220.13342","582","Superbeast","15"
"Deadmau5 & Kaskade","Lily","4","Koch","595.56526","582","I Remember","15"
"Shania Twain","Ryan","0","Smith","213.7073","607","Don't Be Stupid (You Know I Love You)","26"
"Los Campesinos","Ryan","1","Smith","138.10893","607","We throw parties_ you throw knives","26"
"Ill Nino","Chloe","1","Cuevas","188.9171","606","How Can I Live (Spanish version) (Album Version)","49"
"Mia X","Chloe","2","Cuevas","236.09424","606","Thugs Like Me","49"
"Rage Against The Machine","Chloe","3","Cuevas","314.40934","606","Killing In The Name","49"
"Asia 2001","Chloe","4","Cuevas","150.30812","606","Epilogue","49"
"Muse","Chloe","5","Cuevas","228.93669","606","Endlessly","49"
"Rise Against","Chloe","6","Cuevas","221.17832","606","Torches","49"
"Modest Mouse","Mohammad","3","Rodriguez","259.47383","591","The Good Times Are Killing Me","88"
"Marc Anthony","Chloe","7","Cuevas","314.43546","606","Te Conozco Bien","49"
"Regina Spektor","Chloe","8","Cuevas","191.08526","606","The Calculation (Album Version)","49"
"Nina Sky","Tegan","0","Levine","101.92934","611","Goodbye (Interlude)","80"
"Five Iron Frenzy","Avery","0","Watkins","236.09424","324","Canada","30"
"Kudai","Avery","2","Watkins","256.62649","324","Ven","30"
"Pulp","Avery","3","Watkins","260.8322","324","Do You Remember The First Time?","30"
"SinÃÂ©ad O'Connor","Avery","4","Watkins","282.51383","324","I Want Your (Hands On Me)","30"
"Paul Brown","Tegan","3","Levine","232.54159","611","Chill Out","80"
"Lasgo","Avery","5","Watkins","220.13342","324","Something (Radio Edit)","30"
"Patty Loveless","Tegan","4","Levine","188.13342","611","What's A Broken Heart","80"
"Eddie Vedder","Avery","6","Watkins","236.30322","324","Society","30"
"Rogue Wave","Tegan","5","Levine","234.13506","611","Christians In Black","80"
"Muse","Avery","7","Watkins","304.84853","324","Uprising","30"
"Amanda Blank","Tegan","6","Levine","175.09832","611","Might Like You Better","80"
"The Smiths","Avery","8","Watkins","162.24608","324","Sheila Take A Bow","30"
"Old 97's","Tegan","7","Levine","231.28771","611","Victoria (LP Version)","80"
"Selena","Avery","9","Watkins","316.42077","324","Dreaming Of You","30"
"Fat Joe","Tegan","8","Levine","267.10159","611","What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version)","80"
"Stars","Avery","10","Watkins","193.33179","324","Soft Revolution","30"
"James Blunt","Tegan","9","Levine","298.4224","611","Same Mistake  (Album Version)","80"
"Mayday Parade","Avery","11","Watkins","203.28444","324","Bruised And Scarred (Album Version)","30"
"Die Mooskirchner","Tegan","10","Levine","169.29914","611","Frisch und g'sund","80"
"Gorillaz","Avery","12","Watkins","211.77424","324","Rockit","30"
"Toby Keith","Tegan","12","Levine","208.48281","611","Should've Been A Cowboy","80"
"Modest Mouse","Avery","13","Watkins","284.18567","324","Little Motel","30"
"Future Rock","Tegan","13","Levine","239.90812","611","Gears","80"
"Noel Pointer","Avery","14","Watkins","259.7873","324","Superwoman (Where Were You When I Needed You) (Digitally Remastered)","30"
"Callenish Circle","Tegan","14","Levine","226.11546","611","Forgotten","80"
"Foo Fighters","Rylan","0","George","250.14812","575","Everlong","16"
"Portishead","Avery","15","Watkins","238.73261","324","Hunter","30"
"Taylor Swift","Tegan","15","Levine","245.36771","611","The Way I Loved You","80"
"J-Live","Rylan","1","George","256.93995","575","Longevity","16"
"The White Stripes","Avery","16","Watkins","110.47138","324","Fell In Love With A Girl","30"
"Dwight Yoakam","Tegan","16","Levine","239.3073","611","You're The One","80"
"The Black Keys","Avery","17","Watkins","238.99383","324","Lies","30"
"Five","Rylan","2","George","207.62077","575","Got The Feelin'","16"
"Ra","Tegan","17","Levine","319.9473","611","Do You Call My Name","80"
"Coolio feat. L.V.","Rylan","4","George","241.57995","575","Gangsta's Paradise (LP Version)","16"
"Paramore","Avery","18","Watkins","211.51302","324","Misery Business (Album Version)","30"
"Leggo Beast","Avery","19","Watkins","321.93261","324","Itchy Feet","30"
"Nneka","Rylan","5","George","226.79465","575","Gypsy","16"
